C:\Documents and Settings\IBIC\Desktop\New Folder\FingerPressing-1-2.edat2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,EndSlide.ACC,EndSlide.CRESP,EndSlide.DurationError,EndSlide.OnsetDelay,EndSlide.OnsetTime,EndSlide.RESP,EndSlide.RT,EndSlide.RTTime,Procedure[Block],Running[Block],SoundAttr,SoundAttr.Cycle,SoundAttr.Sample,SoundHigh,SoundLow,WaitForTrigger.ACC,WaitForTrigger.CRESP,WaitForTrigger.DurationError,WaitForTrigger.OnsetDelay,WaitForTrigger.OnsetTime,WaitForTrigger.RESP,WaitForTrigger.RT,WaitForTrigger.RTTime,Trial,PrepDuration,PrepRand,PrepRand.Cycle,PrepRand.Sample,Procedure[Trial],Running[Trial],SubTrial,PrepSlide.ACC,PrepSlide.CRESP,PrepSlide.DurationError,PrepSlide.OnsetDelay,PrepSlide.OnsetTime,PrepSlide.RESP,PrepSlide.RT,PrepSlide.RTTime,Procedure[SubTrial],RestDuration,RestRand,RestRand.Cycle,RestRand.Sample,RestSlide.ACC,RestSlide.CRESP,RestSlide.DurationError,RestSlide.OnsetDelay,RestSlide.OnsetTime,RestSlide.RESP,RestSlide.RT,RestSlide.RTTime,Running[SubTrial]
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,1,6000,2,2,1,PrepTrial,PrepRand,1,0,,4,-4,134739,t,604,135343,RestTrial,11400,15,2,1,0,,-76,76,123419,t,1924,125343,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,2,4000,1,3,2,PrepTrial,PrepRand,1,0,,-2,2,152445,t,898,153343,RestTrial,11700,18,4,1,0,,2,-2,140741,r,507,141248,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,3,4000,1,4,3,PrepTrial,PrepRand,1,0,,-7,7,167150,t,192,167342,RestTrial,10700,8,6,1,0,,-3,3,156446,b,434,156880,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,4,4000,1,5,4,PrepTrial,PrepRand,1,0,,5,-5,182038,t,1304,183342,RestTrial,10900,10,8,1,0,,-8,8,171151,t,191,171342,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,5,6000,2,6,5,PrepTrial,PrepRand,1,0,,0,0,196743,t,599,197342,RestTrial,10700,8,10,1,0,,4,-4,186039,r,424,186463,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,6,4000,1,7,6,PrepTrial,PrepRand,1,0,,-5,5,212748,t,594,213342,RestTrial,10000,1,12,1,0,,-18,18,202761,b,431,203192,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,7,4000,1,8,7,PrepTrial,PrepRand,1,0,,-10,10,228053,t,1289,229342,RestTrial,11300,14,14,1,0,,-6,6,216749,b,330,217079,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,8,6000,2,9,8,PrepTrial,PrepRand,1,0,,1,-1,243042,t,300,243342,RestTrial,11000,11,16,1,0,,5,-5,232038,r,481,232519,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,9,4000,1,10,9,PrepTrial,PrepRand,1,0,,-3,3,259346,t,1995,261341,RestTrial,10300,4,18,1,0,,0,0,249043,t,299,249342,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,10,4000,1,11,10,PrepTrial,PrepRand,1,0,,-9,9,275052,t,289,275341,RestTrial,11700,18,20,1,0,,-5,5,263348,t,2,263350,RestRand
